,USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
188,CA,6001,1675839,Alameda,1910017353,216902808,737.462,83.747,37.647139,-121.912488
189,CA,6003,1675840,Alpine,1912292607,12557304,738.34,4.848,38.621783,-119.798352
190,CA,6005,1675841,Amador,1539965777,29438413,594.584,11.366,38.443549,-120.653858
191,CA,6007,1675842,Butte,4238488698,105260548,1636.49,40.641,39.665336,-121.603209
192,CA,6009,1675885,Calaveras,2641837359,43789489,1020.019,16.907,38.191068,-120.554107
193,CA,6011,1675902,Colusa,2980332727,14608884,1150.713,5.641,39.177739,-122.237563
194,CA,6013,1675903,Contra Costa,1856838508,225278783,716.929,86.981,37.919479,-121.951543
195,CA,6015,1682074,Del Norte,2606118035,578742633,1006.228,223.454,41.749903,-123.980998
196,CA,6017,277273,El Dorado,4423309715,203342317,1707.85,78.511,38.785612,-120.534225
197,CA,6019,277274,Fresno,15432139292,136609893,5958.383,52.745,36.761006,-119.655019
198,CA,6021,277275,Glenn,3403160301,33693344,1313.968,13.009,39.602546,-122.4017
199,CA,6023,1681908,Humboldt,9241565229,1253726036,3568.188,484.066,40.706655,-123.926176
200,CA,6025,277277,Imperial,10814595262,790216761,4175.539,305.104,33.040814,-115.3554
201,CA,6027,1804637,Inyo,26410783053,77280938,10197.261,29.838,36.56216,-117.404209
202,CA,6029,2054176,Kern,21068634240,78407748,8134.646,30.273,35.346629,-118.729506
203,CA,6031,277280,Kings,3602601923,3164290,1390.972,1.222,36.072478,-119.81553
204,CA,6033,277281,Lake,3254452700,188748214,1256.551,72.876,39.094802,-122.746757
205,CA,6035,1693324,Lassen,11762017378,463024232,4541.34,178.775,40.715287,-120.621223
206,CA,6037,277283,Los Angeles,10513491099,1787501506,4059.282,690.158,34.196398,-118.261862
207,CA,6039,277284,Madera,5534591552,42271836,2136.918,16.321,37.209821,-119.749802
208,CA,6041,277285,Marin,1347889807,797077678,520.423,307.753,38.051367,-122.746396
209,CA,6043,277286,Mariposa,3752476985,36220865,1448.84,13.985,37.574343,-119.911721
210,CA,6045,277287,Mendocino,9082632466,961740401,3506.824,371.33,39.432388,-123.442881
211,CA,6047,277288,Merced,5019407132,105277636,1938.004,40.648,37.194806,-120.722802
212,CA,6049,277289,Modoc,10225877726,660503268,3948.234,255.022,41.592918,-120.71837
213,CA,6051,277290,Mono,7896624729,214695677,3048.904,82.894,37.915836,-118.875167
214,CA,6053,277291,Monterey,8499623032,1267793988,3281.723,489.498,36.240104,-121.315578
215,CA,6055,277292,Napa,1938032964,104262608,748.279,40.256,38.5071,-122.325904
216,CA,6057,1682927,Nevada,2480587302,41531993,957.76,16.036,39.297508,-120.771343
217,CA,6059,277294,Orange,2053449483,406294114,792.841,156.871,33.675687,-117.777207
218,CA,6061,277295,Placer,3644306224,246466621,1407.075,95.161,39.062032,-120.722718
219,CA,6063,277296,Plumas,6612400772,156387638,2553.062,60.382,39.992295,-120.824371
220,CA,6065,277297,Riverside,18671921166,243201314,7209.269,93.901,33.729828,-116.002239
221,CA,6067,277298,Sacramento,2500040418,75346029,965.271,29.091,38.450136,-121.344329
222,CA,6069,277299,San Benito,3596591085,4719300,1388.652,1.822,36.611651,-121.085811
223,CA,6071,277300,San Bernardino,51975908919,96406054,20068.011,37.223,34.856661,-116.181571
224,CA,6073,277301,San Diego,10904455257,817317026,4210.234,315.568,33.023604,-116.776117
225,CA,6075,277302,San Francisco,121507089,479146790,46.914,185,37.727239,-123.032229
226,CA,6077,277303,San Joaquin,3606222502,89027654,1392.37,34.374,37.934982,-121.272244
227,CA,6079,277304,San Luis Obispo,8549172832,815618272,3300.854,314.912,35.388189,-120.448897
228,CA,6081,277305,San Mateo,1161922036,757123906,448.621,292.327,37.414672,-122.371546
229,CA,6083,277306,Santa Barbara,7080860393,2729213352,2733.936,1053.755,34.536677,-120.038364
230,CA,6085,277307,Santa Clara,3343892719,33595850,1291.084,12.971,37.221614,-121.68954
231,CA,6087,277308,Santa Cruz,1152823584,419714230,445.108,162.053,37.012347,-122.007789
232,CA,6089,1682610,Shasta,9778551576,186157964,3775.52,71.876,40.760514,-122.043556
233,CA,6091,277310,Sierra,2468694582,23299110,953.168,8.996,39.576925,-120.521993
234,CA,6093,277311,Siskiyou,16261933231,179149816,6278.768,69.17,41.587986,-122.533287
235,CA,6095,277312,Solano,2128527683,218619356,821.829,84.409,38.267226,-121.939594
236,CA,6097,1657246,Sonoma,4080862341,498084088,1575.63,192.311,38.525182,-122.92611
237,CA,6099,277314,Stanislaus,3874667294,46351770,1496.017,17.897,37.562316,-121.002831
238,CA,6101,277315,Sutter,1560975503,14811541,602.696,5.719,39.03619,-121.70394
239,CA,6103,1692767,Tehama,7638229340,33767224,2949.137,13.038,40.126157,-122.232274
240,CA,6105,277317,Trinity,8234265080,73407950,3179.268,28.343,40.647858,-123.114666
241,CA,6107,277318,Tulare,12493840855,37260863,4823.899,14.387,36.228834,-118.781055
242,CA,6109,277319,Tuolumne,5752133237,138668837,2220.911,53.54,38.021434,-119.964733
243,CA,6111,277320,Ventura,4767622152,947345735,1840.789,365.772,34.358748,-119.133145
244,CA,6113,277321,Yolo,2628145869,22877242,1014.733,8.833,38.679609,-121.90275
245,CA,6115,277322,Yuba,1636887865,31084093,632.006,12.002,39.27013,-121.344259
