"","long","lat","group","order","region","subregion"
"6965",-121.478507995605,37.4828987121582,157,6965,"california","alameda"
"6966",-121.512893676758,37.4828987121582,157,6966,"california","alameda"
"6967",-121.885314941406,37.4828987121582,157,6967,"california","alameda"
"6968",-121.896774291992,37.4657135009766,157,6968,"california","alameda"
"6969",-121.925422668457,37.4599800109863,157,6969,"california","alameda"
"6970",-121.948341369629,37.4771690368652,157,6970,"california","alameda"
"6971",-121.954063415527,37.4771690368652,157,6971,"california","alameda"
"6972",-121.954063415527,37.4943580627441,157,6972,"california","alameda"
"6973",-121.999908447266,37.5058174133301,157,6973,"california","alameda"
"6974",-122.045738220215,37.5287322998047,157,6974,"california","alameda"
"6975",-122.07438659668,37.5459251403809,157,6975,"california","alameda"
"6976",-122.091567993164,37.5917587280273,157,6976,"california","alameda"
"6977",-122.11449432373,37.6490592956543,157,6977,"california","alameda"
"6978",-122.143142700195,37.7006225585938,157,6978,"california","alameda"
"6979",-122.188980102539,37.7350006103516,157,6979,"california","alameda"
"6980",-122.24055480957,37.7636489868164,157,6980,"california","alameda"
"6981",-122.274917602539,37.7922973632812,157,6981,"california","alameda"
"6982",-122.269195556641,37.832405090332,157,6982,"california","alameda"
"6983",-122.274917602539,37.8495941162109,157,6983,"california","alameda"
"6984",-122.274917602539,37.8725128173828,157,6984,"california","alameda"
"6985",-122.274917602539,37.9011573791504,157,6985,"california","alameda"
"6986",-122.246276855469,37.8896980285645,157,6986,"california","alameda"
"6987",-122.20044708252,37.8667793273926,157,6987,"california","alameda"
"6988",-122.183242797852,37.8209419250488,157,6988,"california","alameda"
"6989",-122.131675720215,37.8209419250488,157,6989,"california","alameda"
"6990",-122.120231628418,37.7922973632812,157,6990,"california","alameda"
"6991",-122.045738220215,37.7922973632812,157,6991,"california","alameda"
"6992",-121.98844909668,37.7636489868164,157,6992,"california","alameda"
"6993",-121.982711791992,37.7063522338867,157,6993,"california","alameda"
"6994",-121.593101501465,37.8094863891602,157,6994,"california","alameda"
"6995",-121.552993774414,37.8152160644531,157,6995,"california","alameda"
"6996",-121.552993774414,37.7808380126953,157,6996,"california","alameda"
"6997",-121.552993774414,37.5401954650879,157,6997,"california","alameda"
"6998",-121.501426696777,37.5287322998047,157,6998,"california","alameda"
"6999",-121.489967346191,37.5058174133301,157,6999,"california","alameda"
"7000",-121.478507995605,37.4828987121582,157,7000,"california","alameda"
"7002",-120.074768066406,38.7090263366699,158,7002,"california","alpine"
"7003",-120.05184173584,38.7204895019531,158,7003,"california","alpine"
"7004",-119.954444885254,38.7777824401855,158,7004,"california","alpine"
"7005",-119.948707580566,38.8064308166504,158,7005,"california","alpine"
"7006",-119.914337158203,38.8293495178223,158,7006,"california","alpine"
"7007",-119.908599853516,38.8522682189941,158,7007,"california","alpine"
"7008",-119.885696411133,38.8579978942871,158,7008,"california","alpine"
"7009",-119.874229431152,38.869457244873,158,7009,"california","alpine"
"7010",-119.885696411133,38.875186920166,158,7010,"california","alpine"
"7011",-119.868492126465,38.9095611572266,158,7011,"california","alpine"
"7012",-119.57056427002,38.6975708007812,158,7012,"california","alpine"
"7013",-119.59920501709,38.6689224243164,158,7013,"california","alpine"
"7014",-119.61067199707,38.6402702331543,158,7014,"california","alpine"
"7015",-119.604942321777,38.5829772949219,158,7015,"california","alpine"
"7016",-119.547637939453,38.5371398925781,158,7016,"california","alpine"
"7017",-119.536178588867,38.4855766296387,158,7017,"california","alpine"
"7018",-119.559097290039,38.4397392272949,158,7018,"california","alpine"
"7019",-119.547637939453,38.416820526123,158,7019,"california","alpine"
"7020",-119.582023620605,38.3939018249512,158,7020,"california","alpine"
"7021",-119.593482971191,38.4110908508301,158,7021,"california","alpine"
"7022",-119.616394042969,38.3996315002441,158,7022,"california","alpine"
"7023",-119.61067199707,38.3595237731934,158,7023,"california","alpine"
"7024",-119.633590698242,38.3537940979004,158,7024,"california","alpine"
"7025",-119.645050048828,38.3308792114258,158,7025,"california","alpine"
"7026",-119.667961120605,38.3423347473145,158,7026,"california","alpine"
"7027",-119.702346801758,38.3595237731934,158,7027,"california","alpine"
"7028",-119.719528198242,38.4110908508301,158,7028,"california","alpine"
"7029",-119.759635925293,38.416820526123,158,7029,"california","alpine"
"7030",-119.822662353516,38.3996315002441,158,7030,"california","alpine"
"7031",-119.862770080566,38.3595237731934,158,7031,"california","alpine"
"7032",-120.02320098877,38.428279876709,158,7032,"california","alpine"
"7033",-120.05184173584,38.4454689025879,158,7033,"california","alpine"
"7034",-120.074768066406,38.4569244384766,158,7034,"california","alpine"
"7035",-120.074768066406,38.4970321655273,158,7035,"california","alpine"
"7036",-120.069030761719,38.5199508666992,158,7036,"california","alpine"
"7037",-120.074768066406,38.7090263366699,158,7037,"california","alpine"
"7039",-120.074768066406,38.7090263366699,159,7039,"california","amador"
"7040",-120.069030761719,38.5199508666992,159,7040,"california","amador"
"7041",-120.126335144043,38.5084953308105,159,7041,"california","amador"
"7042",-120.21800994873,38.5027618408203,159,7042,"california","amador"
"7043",-120.355514526367,38.4683876037598,159,7043,"california","amador"
"7044",-120.395622253418,38.4683876037598,159,7044,"california","amador"
"7045",-120.441452026367,38.4683876037598,159,7045,"california","amador"
"7046",-120.464370727539,38.4454689025879,159,7046,"california","amador"
"7047",-120.50447845459,38.4511985778809,159,7047,"california","amador"
"7048",-120.619079589844,38.3881721496582,159,7048,"california","amador"
"7049",-120.636260986328,38.3652534484863,159,7049,"california","amador"
"7050",-120.785232543945,38.2907676696777,159,7050,"california","amador"
"7051",-120.888366699219,38.2334747314453,159,7051,"california","amador"
"7052",-120.934196472168,38.2220153808594,159,7052,"california","amador"
"7053",-120.980041503906,38.2220153808594,159,7053,"california","amador"
"7054",-121.002960205078,38.2964973449707,159,7054,"california","amador"
"7055",-121.020149230957,38.5142250061035,159,7055,"california","amador"
"7056",-120.991500854492,38.5142250061035,159,7056,"california","amador"
"7057",-120.945655822754,38.5256805419922,159,7057,"california","amador"
"7058",-120.917007446289,38.5199508666992,159,7058,"california","amador"
"7059",-120.813873291016,38.56005859375,159,7059,"california","amador"
"7060",-120.641998291016,38.5142250061035,159,7060,"california","amador"
"7061",-120.573234558105,38.5084953308105,159,7061,"california","amador"
"7062",-120.50447845459,38.5142250061035,159,7062,"california","amador"
"7063",-120.435729980469,38.5371398925781,159,7063,"california","amador"
"7064",-120.355514526367,38.5428695678711,159,7064,"california","amador"
"7065",-120.286758422852,38.5715179443359,159,7065,"california","amador"
"7066",-120.235191345215,38.5944366455078,159,7066,"california","amador"
"7067",-120.223731994629,38.6230850219727,159,7067,"california","amador"
"7068",-120.166442871094,38.6345443725586,159,7068,"california","amador"
"7069",-120.114875793457,38.6975708007812,159,7069,"california","amador"
"7070",-120.097686767578,38.7090263366699,159,7070,"california","amador"
"7071",-120.074768066406,38.7090263366699,159,7071,"california","amador"
"7073",-121.62174987793,39.3106346130371,160,7073,"california","butte"
"7074",-121.908233642578,39.2934455871582,160,7074,"california","butte"
"7075",-121.908233642578,39.333553314209,160,7075,"california","butte"
"7076",-121.891036987305,39.3679313659668,160,7076,"california","butte"
"7077",-121.885314941406,39.3851165771484,160,7077,"california","butte"
"7078",-121.87385559082,39.4309539794922,160,7078,"california","butte"
"7079",-121.86238861084,39.471061706543,160,7079,"california","butte"
"7080",-121.87385559082,39.5111694335938,160,7080,"california","butte"
"7081",-121.850929260254,39.5398178100586,160,7081,"california","butte"
"7082",-121.982711791992,39.5283584594727,160,7082,"california","butte"
"7083",-122.011360168457,39.5627365112305,160,7083,"california","butte"
"7084",-121.98844909668,39.608570098877,160,7084,"california","butte"
"7085",-121.994171142578,39.6314888000488,160,7085,"california","butte"
"7086",-121.971252441406,39.642951965332,160,7086,"california","butte"
"7087",-121.994171142578,39.6658706665039,160,7087,"california","butte"
"7088",-121.936882019043,39.6715965270996,160,7088,"california","butte"
"7089",-121.942604064941,39.7174339294434,160,7089,"california","butte"
"7090",-122.02855682373,39.774730682373,160,7090,"california","butte"
"7091",-122.022819519043,39.791919708252,160,7091,"california","butte"
"7092",-122.057205200195,39.8033790588379,160,7092,"california","butte"
"7093",-122.062927246094,39.8320274353027,160,7093,"california","butte"
"7094",-122.062927246094,39.8664054870605,160,7094,"california","butte"
"7095",-122.051467895508,39.8893241882324,160,7095,"california","butte"
"7096",-121.816558837891,39.8835906982422,160,7096,"california","butte"
"7097",-121.805099487305,39.8950538635254,160,7097,"california","butte"
"7098",-121.764991760254,39.9007797241211,160,7098,"california","butte"
"7099",-121.730606079102,39.91796875,160,7099,"california","butte"
"7100",-121.742073059082,39.9466171264648,160,7100,"california","butte"
"7101",-121.701965332031,39.9867248535156,160,7101,"california","butte"
"7102",-121.66185760498,39.9867248535156,160,7102,"california","butte"
"7103",-121.644668579102,39.9867248535156,160,7103,"california","butte"
"7104",-121.633209228516,40.044017791748,160,7104,"california","butte"
"7105",-121.593101501465,40.0554809570312,160,7105,"california","butte"
"7106",-121.598831176758,40.1013145446777,160,7106,"california","butte"
"7107",-121.541534423828,40.1070442199707,160,7107,"california","butte"
"7108",-121.461318969727,40.1414260864258,160,7108,"california","butte"
"7109",-121.455596923828,40.1758003234863,160,7109,"california","butte"
"7110",-121.415489196777,40.1643409729004,160,7110,"california","butte"
"7111",-121.40975189209,40.1299629211426,160,7111,"california","butte"
"7112",-121.369644165039,40.1013145446777,160,7112,"california","butte"
"7113",-121.415489196777,40.0554809570312,160,7113,"california","butte"
"7114",-121.426940917969,40.0039138793945,160,7114,"california","butte"
"7115",-121.415489196777,39.9695358276367,160,7115,"california","butte"
"7116",-121.42121887207,39.9294281005859,160,7116,"california","butte"
"7117",-121.415489196777,39.923698425293,160,7117,"california","butte"
"7118",-121.438400268555,39.91796875,160,7118,"california","butte"
"7119",-121.438400268555,39.9007797241211,160,7119,"california","butte"
"7120",-121.392570495605,39.8606719970703,160,7120,"california","butte"
"7121",-121.329544067383,39.8148345947266,160,7121,"california","butte"
"7122",-121.226402282715,39.7288932800293,160,7122,"california","butte"
"7123",-121.220680236816,39.7002449035645,160,7123,"california","butte"
"7124",-121.134742736816,39.642951965332,160,7124,"california","butte"
"7125",-121.088897705078,39.6142997741699,160,7125,"california","butte"
"7126",-121.05451965332,39.608570098877,160,7126,"california","butte"
"7127",-121.071716308594,39.5856552124023,160,7127,"california","butte"
"7128",-121.088897705078,39.5856552124023,160,7128,"california","butte"
"7129",-121.094635009766,39.5627365112305,160,7129,"california","butte"
"7130",-121.129005432129,39.5570068359375,160,7130,"california","butte"
"7131",-121.146194458008,39.5226287841797,160,7131,"california","butte"
"7132",-121.226402282715,39.5283584594727,160,7132,"california","butte"
"7133",-121.232139587402,39.5111694335938,160,7133,"california","butte"
"7134",-121.266510009766,39.5111694335938,160,7134,"california","butte"
"7135",-121.272247314453,39.5168991088867,160,7135,"california","butte"
"7136",-121.283706665039,39.5168991088867,160,7136,"california","butte"
"7137",-121.341003417969,39.4538726806641,160,7137,"california","butte"
"7138",-121.375381469727,39.3621978759766,160,7138,"california","butte"
