"","NAME","fips","totalcountconfirmed","totalcountdeaths","newcountconfirmed","newcountdeaths","date","PopDensity","Poverty_Estimate","Poverty_Percent","Median_Household_Income","INTPTLAT","INTPTLONG"
"1","Alameda",1675839,6737,140,251,0,"2020-07-04",860.7570749,146315,8.9,107589,37.647139,-121.912488
"2","Alameda",1675839,23099,460,52,4,"2020-10-24",860.7570749,146315,8.9,107589,37.647139,-121.912488
"3","Alameda",1675839,6386,138,245,2,"2020-07-02",860.7570749,146315,8.9,107589,37.647139,-121.912488
"4","Alameda",1675839,6486,140,100,2,"2020-07-03",860.7570749,146315,8.9,107589,37.647139,-121.912488
"5","Alameda",1675839,4646,118,57,1,"2020-06-19",860.7570749,146315,8.9,107589,37.647139,-121.912488
"6","Alameda",1675839,4758,119,112,1,"2020-06-20",860.7570749,146315,8.9,107589,37.647139,-121.912488
"7","Alameda",1675839,4835,119,77,0,"2020-06-21",860.7570749,146315,8.9,107589,37.647139,-121.912488
"8","Alameda",1675839,4944,121,109,2,"2020-06-22",860.7570749,146315,8.9,107589,37.647139,-121.912488
"9","Alameda",1675839,22915,456,62,24,"2020-10-22",860.7570749,146315,8.9,107589,37.647139,-121.912488
"10","Alameda",1675839,23192,461,93,1,"2020-10-25",860.7570749,146315,8.9,107589,37.647139,-121.912488
"11","Alameda",1675839,23284,461,92,0,"2020-10-26",860.7570749,146315,8.9,107589,37.647139,-121.912488
"12","Alameda",1675839,5779,133,169,3,"2020-06-28",860.7570749,146315,8.9,107589,37.647139,-121.912488
"13","Alameda",1675839,5940,133,161,0,"2020-06-29",860.7570749,146315,8.9,107589,37.647139,-121.912488
"14","Alameda",1675839,6067,135,127,2,"2020-06-30",860.7570749,146315,8.9,107589,37.647139,-121.912488
"15","Alameda",1675839,6141,136,74,1,"2020-07-01",860.7570749,146315,8.9,107589,37.647139,-121.912488
"16","Alameda",1675839,23530,463,62,1,"2020-10-29",860.7570749,146315,8.9,107589,37.647139,-121.912488
"17","Alameda",1675839,23676,463,146,0,"2020-10-30",860.7570749,146315,8.9,107589,37.647139,-121.912488
"18","Alameda",1675839,23780,464,104,1,"2020-10-31",860.7570749,146315,8.9,107589,37.647139,-121.912488
"19","Alameda",1675839,23892,464,112,0,"2020-11-01",860.7570749,146315,8.9,107589,37.647139,-121.912488
"20","Alameda",1675839,6861,140,124,0,"2020-07-05",860.7570749,146315,8.9,107589,37.647139,-121.912488
"21","Alameda",1675839,3937,110,71,6,"2020-06-08",860.7570749,146315,8.9,107589,37.647139,-121.912488
"22","Alameda",1675839,3963,110,26,0,"2020-06-09",860.7570749,146315,8.9,107589,37.647139,-121.912488
"23","Alameda",1675839,23047,456,132,0,"2020-10-23",860.7570749,146315,8.9,107589,37.647139,-121.912488
"24","Alameda",1675839,63568,776,926,13,"2021-01-13",860.7570749,146315,8.9,107589,37.647139,-121.912488
"25","Alameda",1675839,64364,768,796,-8,"2021-01-14",860.7570749,146315,8.9,107589,37.647139,-121.912488
"26","Alameda",1675839,65416,755,1052,-13,"2021-01-15",860.7570749,146315,8.9,107589,37.647139,-121.912488
"27","Alameda",1675839,23365,462,81,1,"2020-10-27",860.7570749,146315,8.9,107589,37.647139,-121.912488
"28","Alameda",1675839,23468,462,103,0,"2020-10-28",860.7570749,146315,8.9,107589,37.647139,-121.912488
"29","Alameda",1675839,4428,112,105,0,"2020-06-16",860.7570749,146315,8.9,107589,37.647139,-121.912488
"30","Alameda",1675839,4485,116,57,4,"2020-06-17",860.7570749,146315,8.9,107589,37.647139,-121.912488
"31","Alameda",1675839,4589,117,104,1,"2020-06-18",860.7570749,146315,8.9,107589,37.647139,-121.912488
"32","Alameda",1675839,11177,181,302,0,"2020-07-29",860.7570749,146315,8.9,107589,37.647139,-121.912488
